country_name,year,gdp,popdensity,income_per_person,life_expectancy,total_population,m_in,m_out
Afghanistan,1990,,18.4841619949,1028,49.5,12067570,50671,6721952
Albania,1990,2101624962.5,119.9467883212,4350,73.3,3281453,58703,178506
Algeria,1990,62045098374.5482,10.8795939103,10113,70.2,25912364,258623,905365
American Samoa,1990,,235.22,,70.2,47044,20486,2088
Andorra,1990,1028989393.70295,115.9808510638,28417,81.7,54511,38137,3469
Angola,1990,10027408249.2145,8.9258602711,4232,48.6,11127870,27759,809632
Antigua and Barbuda,1990,391570363.454988,140.6954545455,17154,73.5,61906,11204,21798
Arab World,1990,446018089282.657,16.3033948716,,,,,
Argentina,1990,141352368714.691,11.9596081398,8539,72.5,32729740,1565392,430045
Armenia,1990,2256838858.42714,124.5063224447,3736,70.1,3544695,564662,899295
Aruba,1990,,345.2666666667,37014,73.47,62148,11099,10571
Australia,1990,310954982685.648,2.2213529802,28604,77,17096869,3948318,303406
Austria,1990,166062376739.683,92.9746912085,31053,75.7,7706571,793239,505334
Azerbaijan,1990,8858006035.91566,86.0280952209,8513,65.6,7216503,357078,1634021
Bahrain,1990,4229787378.87456,718.7594202899,35398,71.8,495944,170701,12274
Bangladesh,1990,31598341233.5793,814.1901820696,1274,57.9,105983136,641620,5449231
Barbados,1990,2012131370.25539,605.5209302326,12992,73,260374,18452,84616
Belarus,1990,17369598958.1159,50.2317097219,8084,70.5,10231983,1248782,1768769
Belgium,1990,206431036697.248,,30798,76,9978241,876683,360794
Belize,1990,413050000,8.2223586146,5166,71.4,187552,29314,36080
Benin,1990,1959965330.47596,44.3532369635,1362,56.1,5001271,63876,233625
Bermuda,1990,1592400000,1186.52,40553,71.1,60931,15030,71352
Bhutan,1990,299787275.842376,11.4612717505,2332,61.4,535505,21982,28341
Bolivia,1990,4867582620.20708,6.3290372011,3740,61.6,6856246,72706,224178
Bosnia and Herzegovina,1990,,88.764627451,2974,72.7,4526996,54542,843208
Botswana,1990,3790636664.02546,2.4346937695,8075,62.3,1379814,25829,25884
Brazil,1990,461951782000,17.9936137705,10331,67.9,150393143,770323,497223
British Virgin Islands,1990,,109.7266666667,,,16459,7516,3088
Brunei,1990,3520551724.13793,48.755028463,77076,73.8,256939,72400,24703
Bulgaria,1990,20726301369.863,78.805830245,9333,71.4,8821111,19077,615400
Burkina Faso,1990,3101300779.08364,32.2040679825,821,51.4,8811033,326879,1018838
Burundi,1990,1132101252.51817,218.5802570093,1051,45.6,5613141,273491,337184
Cambodia,1990,,51.0358939497,996,57.6,9008856,32682,354174
Cameroon,1990,11151578702.7205,25.5343847179,2768,58.4,12070359,212475,115243
Canada,1990,593929550908.468,3.0561356396,31163,77.4,27662440,4328215,996566
Cape Verde,1990,306891107.262039,84.6789081886,1609,68.7,341256,7144,91661
Caribbean small states,1990,17661533071.7421,14.7224107694,,,,,
Cayman Islands,1990,,104.2041666667,58535,,25009,9314,370
Central African Republic,1990,1440711459.411,4.715772577,944,48.4,2937832,57307,46234
Central Europe and the Baltics,1990,254126221996.564,100.2381913532,,,,,
Chad,1990,1738605558.05436,4.731593075,1111,53.7,5958022,69111,336901
Channel Islands,1990,,725.0979381443,,,,,18727
Chile,1990,31558927517.2188,17.6740234449,9193,73.1,13141202,107501,489341
China,1990,358973230048.399,120.9155060847,1516,66.7,1154605773,298400,4227807
